daily_study_hours,homework_completion_rate,class_participation,exam_scores,attendance_rate,online_activity,assignment_quality,study_consistency,learning_progress,peer_interaction,resource_usage,time_management,goal_setting,feedback_usage,self_assessment,collaboration_skills,problem_solving,creativity,critical_thinking,emotional_regulation,is_exam_week,is_weekend,is_holiday_period,student_id,week_number,timestamp
1.0,0.6955,0.5674,0.6244,0.3787,0.6541,0.5081,0.5215,0.5538,0.3978,0.6155,0.4767,0.3457,0.4345,0.4556,0.5559,0.4542,0.5172,0.2715,0.3744,0,0,0,S0001,1,2024-W01
1.0,0.7786,0.7172,0.5942,0.4108,0.7751,0.5554,0.4717,0.6612,0.5149,0.538,0.4709,0.3692,0.4558,0.5115,0.5694,0.4772,0.6552,0.273,0.3464,0,0,0,S0001,2,2024-W02
1.0,0.914,0.7062,0.6488,0.3872,0.7407,0.5635,0.5305,0.5186,0.5252,0.6942,0.4295,0.4897,0.408,0.5702,0.5957,0.5767,0.6176,0.277,0.3019,0,0,0,S0001,3,2024-W03
1.0,0.967,0.8023,0.7305,0.3765,0.586,0.5972,0.4969,0.68,0.5179,0.4186,0.4147,0.4048,0.4374,0.557,0.6292,0.4543,0.7076,0.289,0.3545,1,1,0,S0001,4,2024-W04
1.0,0.9737,0.8614,0.728,0.4586,0.8732,0.6053,0.528,0.6776,0.5,0.614,0.5323,0.4653,0.5156,0.6178,0.6229,0.4843,0.6286,0.272,0.3728,0,0,0,S0001,5,2024-W05
1.0,0.9811,0.5686,0.8399,0.4005,0.5188,0.6975,0.6586,0.6746,0.4697,0.471,0.5254,0.4097,0.4531,0.5112,0.6085,0.6113,0.6178,0.2858,0.3701,0,1,1,S0001,6,2024-W06
1.0,1.0,0.639,0.7158,0.4826,0.5336,0.6445,0.6913,0.6484,0.4236,0.4355,0.5705,0.459,0.5267,0.588,0.5965,0.4789,0.6782,0.3039,0.397,0,1,1,S0001,7,2024-W07
1.0,1.0,0.6852,0.8296,0.5147,0.8509,0.7474,0.5897,0.7362,0.5347,0.831,0.4497,0.5494,0.5605,0.5451,0.6418,0.5423,0.7745,0.3113,0.3454,1,0,0,S0001,8,2024-W08
1.0,0.7696,0.5766,0.3774,0.3309,0.4168,0.3472,0.599,0.4653,0.5381,0.3688,0.5399,0.304,0.2469,0.3547,0.5159,0.5429,0.584,0.2859,0.2902,0,1,0,S0002,1,2024-W01
1.0,0.796,0.6127,0.4266,0.4329,0.5093,0.3399,0.5504,0.4802,0.4614,0.5271,0.5543,0.3847,0.3009,0.3843,0.6258,0.5993,0.6316,0.2798,0.2731,0,0,0,S0002,2,2024-W02
1.0,0.7695,0.5913,0.457,0.4202,0.5388,0.3647,0.5547,0.6316,0.5873,0.4453,0.6103,0.3169,0.2969,0.4029,0.6149,0.6195,0.6845,0.294,0.3406,0,0,0,S0002,3,2024-W03
1.0,0.8737,0.5038,0.4412,0.3816,0.5626,0.4059,0.656,0.558,0.5169,0.5791,0.7443,0.3622,0.3405,0.4102,0.5958,0.5711,0.6409,0.3697,0.2826,1,0,0,S0002,4,2024-W04
1.0,0.866,0.6013,0.4945,0.4629,0.4319,0.453,0.621,0.5702,0.6442,0.364,0.6623,0.4091,0.3402,0.4947,0.6664,0.5702,0.73,0.3337,0.3181,0,1,0,S0002,5,2024-W05
1.0,0.7042,0.5203,0.5114,0.3686,0.6586,0.4245,0.7156,0.6289,0.4032,0.4619,0.7372,0.3942,0.3583,0.4163,0.6095,0.5939,0.5878,0.3558,0.3201,0,0,1,S0002,6,2024-W06
1.0,0.7992,0.4371,0.495,0.4037,0.5086,0.4408,0.7189,0.5692,0.4561,0.3818,0.7118,0.4196,0.3213,0.4543,0.7089,0.6259,0.7123,0.4287,0.3465,0,1,1,S0002,7,2024-W07
1.0,1.0,0.6484,0.5262,0.4215,0.5259,0.4571,0.6336,0.6246,0.6843,0.4077,0.7447,0.3807,0.3316,0.4422,0.7095,0.6349,0.7241,0.391,0.3526,1,1,0,S0002,8,2024-W08
1.0,0.8267,0.6528,0.2657,0.6859,0.7744,0.6081,0.4833,0.4872,0.5599,0.4141,0.4573,0.3299,0.6098,0.5829,0.2553,0.3364,0.6312,0.4326,0.3108,0,0,0,S0003,1,2024-W01
1.0,0.6643,0.6701,0.3098,0.5719,0.5813,0.6663,0.4718,0.5725,0.5437,0.3402,0.5168,0.3802,0.636,0.6834,0.2893,0.3591,0.511,0.3615,0.3165,0,1,0,S0003,2,2024-W02
1.0,0.9001,0.799,0.347,0.6838,0.6298,0.7126,0.5294,0.5847,0.6255,0.3852,0.4292,0.4029,0.5347,0.5794,0.2958,0.3964,0.5765,0.4033,0.3456,0,1,0,S0003,3,2024-W03
1.0,0.9743,0.8209,0.3188,0.7318,0.8735,0.6402,0.5354,0.6101,0.5697,0.5791,0.4763,0.35,0.5873,0.5482,0.3206,0.3529,0.5581,0.4184,0.3743,1,0,0,S0003,4,2024-W04
1.0,0.7163,0.6378,0.3878,0.7547,0.7223,0.7146,0.4636,0.6796,0.6278,0.547,0.5785,0.3305,0.5796,0.5854,0.302,0.4157,0.6006,0.4135,0.3074,0,0,0,S0003,5,2024-W05
1.0,0.7743,0.5643,0.4048,0.6823,0.5876,0.7473,0.4751,0.6585,0.5913,0.3509,0.6156,0.419,0.593,0.5972,0.2657,0.3918,0.6172,0.4427,0.3754,0,1,1,S0003,6,2024-W06
1.0,1.0,0.5539,0.3965,0.783,0.9303,0.8397,0.559,0.5496,0.5689,0.6361,0.5168,0.4234,0.6094,0.7436,0.3038,0.4126,0.7549,0.4704,0.3384,0,0,1,S0003,7,2024-W07
1.0,1.0,0.7952,0.3752,0.7356,1.0,0.8219,0.5601,0.7081,0.6164,0.5347,0.5615,0.3997,0.6287,0.7347,0.3269,0.4392,0.6447,0.4585,0.3854,1,0,0,S0003,8,2024-W08
1.0,0.7155,0.4511,0.3049,0.7083,0.606,0.4711,0.655,0.6703,0.3134,0.5042,0.4709,0.5151,0.3269,0.6627,0.4947,0.7261,0.5507,0.5629,0.4325,0,0,0,S0004,1,2024-W01
1.0,0.7062,0.4223,0.3328,0.6788,0.7317,0.4966,0.5868,0.7768,0.2519,0.4877,0.3844,0.4994,0.3339,0.5854,0.4953,0.6487,0.6336,0.6088,0.4325,0,0,0,S0004,2,2024-W02
1.0,0.6901,0.4813,0.3513,0.7357,0.5933,0.4646,0.6267,0.7409,0.2614,0.5219,0.4544,0.4712,0.3876,0.712,0.5704,0.6042,0.5796,0.6128,0.4558,0,0,0,S0004,3,2024-W03
1.0,0.813,0.5244,0.3898,0.6265,0.7464,0.5699,0.7036,0.7913,0.3068,0.4949,0.4785,0.5133,0.3717,0.736,0.6668,0.6408,0.5812,0.6905,0.5241,1,0,0,S0004,4,2024-W04
1.0,0.7159,0.4671,0.3566,0.7901,0.5331,0.5635,0.6868,0.6609,0.3702,0.3078,0.5259,0.555,0.3778,0.7254,0.5515,0.6642,0.5725,0.616,0.4767,0,1,0,S0004,5,2024-W05
1.0,0.757,0.4001,0.3645,0.7062,0.5579,0.6428,0.584,0.7474,0.2818,0.3138,0.4393,0.6195,0.3894,0.6611,0.6898,0.6828,0.6216,0.6474,0.4582,0,1,1,S0004,6,2024-W06
1.0,0.9252,0.4231,0.4281,0.7039,0.6545,0.5753,0.6518,0.9194,0.2584,0.4779,0.4818,0.534,0.4062,0.6867,0.6136,0.825,0.5758,0.5794,0.5377,0,0,1,S0004,7,2024-W07
1.0,1.0,0.5533,0.403,0.8478,0.5489,0.6117,0.6707,0.9434,0.3703,0.3612,0.5918,0.5949,0.4609,0.8125,0.6073,0.8191,0.6675,0.6427,0.5282,1,1,0,S0004,8,2024-W08
1.0,0.7615,0.5868,0.383,0.3399,0.5844,0.4095,0.5137,0.733,0.439,0.4795,0.2966,0.5011,0.5213,0.5056,0.495,0.3273,0.4859,0.2704,0.2288,0,0,0,S0005,1,2024-W01
1.0,0.6913,0.5448,0.4241,0.3515,0.5525,0.4214,0.5197,0.7659,0.4172,0.4589,0.2835,0.4437,0.6761,0.5144,0.4541,0.3433,0.4703,0.3088,0.2825,0,0,0,S0005,2,2024-W02
1.0,0.8331,0.6561,0.4425,0.3678,0.502,0.4465,0.5861,0.8503,0.3843,0.4464,0.3363,0.4794,0.5393,0.5948,0.5797,0.3314,0.405,0.33,0.2943,0,0,0,S0005,3,2024-W03
1.0,0.9941,0.636,0.4953,0.3536,0.5909,0.4942,0.4861,0.758,0.4105,0.4714,0.2837,0.5604,0.5636,0.6193,0.5025,0.3575,0.4546,0.3429,0.2657,1,0,0,S0005,4,2024-W04
1.0,0.7294,0.6826,0.4513,0.3671,0.5547,0.5157,0.4862,0.9286,0.4468,0.4902,0.3195,0.4781,0.7522,0.546,0.5391,0.3336,0.5094,0.3259,0.2728,0,0,0,S0005,5,2024-W05
1.0,0.9296,0.5751,0.5542,0.3315,0.3906,0.5627,0.548,0.7713,0.3935,0.3527,0.3298,0.5004,0.6037,0.5551,0.5974,0.3852,0.4908,0.2957,0.2797,0,1,1,S0005,6,2024-W06
1.0,0.8878,0.55,0.4898,0.3507,0.4675,0.5117,0.6785,0.7376,0.3741,0.3781,0.3439,0.5992,0.7379,0.5635,0.5472,0.331,0.5392,0.3659,0.2953,0,1,1,S0005,7,2024-W07
1.0,1.0,0.7215,0.4645,0.3838,0.6104,0.5594,0.6591,0.8636,0.4736,0.6456,0.3457,0.51,0.7054,0.5363,0.5333,0.4185,0.5672,0.3037,0.3089,1,0,0,S0005,8,2024-W08
