source,target,type,weight,features
0,1008,takes,0.76,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.76}"
0,1009,takes,0.85,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.85}"
0,1010,takes,0.78,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.78}"
0,1011,takes,0.61,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.61}"
0,1012,takes,0.82,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.82}"
0,1013,takes,0.61,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.61}"
0,1014,takes,0.61,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.61}"
0,1015,takes,0.69,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.69}"
0,1016,takes,0.75,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.75}"
0,1017,takes,0.82,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.82}"
0,1018,takes,0.61,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.61}"
0,1019,takes,0.57,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.57}"
0,1020,takes,0.75,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.75}"
1,1009,takes,0.91,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.91}"
1,1021,takes,0.65,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.65}"
1,1022,takes,0.51,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.51}"
1,1023,takes,0.37,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.37}"
1,1024,takes,0.77,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.77}"
1,1025,takes,0.69,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.69}"
1,1016,takes,0.69,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.69}"
1,1014,takes,0.69,"{'enrollment_status': 1, 'semester': '第五学期', 'year': 2023, 'interest_level': 0.69}"
1,1015,takes,0.55,"{'enrollment_status': 1, 'semester': '第六学期', 'year': 2023, 'interest_level': 0.55}"
2,1009,takes,0.9,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.9}"
2,1010,takes,0.63,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.63}"
