student_id_1,week_1,student_id_2,week_2,pair_type,similarity,time_distance,behavior_distance
S0001,1,S0001,3,positive,0.8682,2.0,
S0001,1,S0001,5,positive,0.7763,4.0,
S0001,1,S0001,8,positive,0.6544,7.0,
S0001,3,S0001,5,positive,0.9318,2.0,
S0001,5,S0001,6,positive,0.9138,1.0,
S0001,6,S0001,7,positive,0.9455,1.0,
S0002,1,S0002,2,positive,0.95,1.0,
S0002,1,S0002,7,positive,0.7041,6.0,
S0002,1,S0002,8,positive,0.6567,7.0,
S0002,3,S0002,6,positive,0.7662,3.0,
S0002,3,S0002,7,positive,0.7352,4.0,
S0002,3,S0002,8,positive,0.6517,5.0,
S0002,4,S0002,5,positive,0.8533,1.0,
S0003,1,S0003,4,positive,0.8192,3.0,
S0003,1,S0003,5,positive,0.7613,4.0,
S0003,1,S0003,8,positive,0.7981,7.0,
S0003,2,S0003,4,positive,0.8041,2.0,
S0003,2,S0003,6,positive,0.7068,4.0,
S0003,2,S0003,8,positive,0.6346,6.0,
S0003,3,S0003,6,positive,0.896,3.0,
S0003,3,S0003,8,positive,0.7102,5.0,
S0003,5,S0003,8,positive,0.9235,3.0,
S0003,6,S0003,7,positive,0.95,1.0,
S0003,7,S0003,8,positive,0.95,1.0,
S0004,1,S0004,3,positive,0.9472,2.0,
S0004,1,S0004,4,positive,0.8289,3.0,
S0004,1,S0004,7,positive,0.7569,6.0,
S0004,2,S0004,3,positive,0.9375,1.0,
S0004,2,S0004,5,positive,0.9125,3.0,
S0004,3,S0004,4,positive,0.95,1.0,
S0004,4,S0004,6,positive,0.8425,2.0,
S0004,5,S0004,7,positive,0.9208,2.0,
S0004,6,S0004,7,positive,0.9025,1.0,
S0004,6,S0004,8,positive,0.8101,2.0,
S0005,1,S0005,3,positive,0.9328,2.0,
S0005,1,S0005,4,positive,0.8091,3.0,
S0005,1,S0005,6,positive,0.703,5.0,
S0005,1,S0005,8,positive,0.6771,7.0,
S0005,2,S0005,4,positive,0.8729,2.0,
S0005,2,S0005,8,positive,0.7326,6.0,
S0005,3,S0005,6,positive,0.8435,3.0,
S0005,5,S0005,8,positive,0.8518,3.0,
S0005,7,S0005,8,positive,0.95,1.0,
S0006,1,S0006,5,positive,0.7603,4.0,
S0006,2,S0006,4,positive,0.8037,2.0,
S0006,2,S0006,5,positive,0.9189,3.0,
S0006,2,S0006,7,positive,0.8481,5.0,
S0006,2,S0006,8,positive,0.7151,6.0,
S0006,3,S0006,5,positive,0.9046,2.0,
S0006,3,S0006,8,positive,0.7132,5.0,
S0006,4,S0006,6,positive,0.95,2.0,
S0006,4,S0006,8,positive,0.8646,4.0,
S0006,5,S0006,6,positive,0.8546,1.0,
S0006,5,S0006,7,positive,0.818,2.0,
S0006,5,S0006,8,positive,0.7639,3.0,
S0006,6,S0006,7,positive,0.8905,1.0,
S0007,1,S0007,5,positive,0.8715,4.0,
S0007,2,S0007,5,positive,0.8544,3.0,
S0007,3,S0007,6,positive,0.945,3.0,
S0007,3,S0007,8,positive,0.7811,5.0,
S0007,4,S0007,6,positive,0.9277,2.0,
S0007,5,S0007,7,positive,0.8896,2.0,
S0007,6,S0007,7,positive,0.95,1.0,
S0007,7,S0007,8,positive,0.95,1.0,
S0008,1,S0008,3,positive,0.8066,2.0,
S0008,1,S0008,5,positive,0.7615,4.0,
S0008,2,S0008,3,positive,0.9416,1.0,
S0008,2,S0008,5,positive,0.8414,3.0,
S0008,2,S0008,6,positive,0.8959,4.0,
S0008,4,S0008,5,positive,0.9179,1.0,
S0008,4,S0008,8,positive,0.8556,4.0,
S0008,5,S0008,6,positive,0.9313,1.0,
S0008,5,S0008,7,positive,0.95,2.0,
S0008,6,S0008,7,positive,0.9264,1.0,
S0009,1,S0009,3,positive,0.8695,2.0,
S0009,3,S0009,5,positive,0.95,2.0,
S0009,5,S0009,6,positive,0.9066,1.0,
S0009,5,S0009,8,positive,0.7917,3.0,
S0010,1,S0010,4,positive,0.9192,3.0,
S0010,2,S0010,6,positive,0.7353,4.0,
S0010,3,S0010,4,positive,0.8645,1.0,
S0010,3,S0010,8,positive,0.7996,5.0,
S0010,4,S0010,5,positive,0.95,1.0,
S0010,4,S0010,6,positive,0.95,2.0,
S0010,4,S0010,7,positive,0.8935,3.0,
S0010,5,S0010,7,positive,0.9362,2.0,
S0010,7,S0010,8,positive,0.95,1.0,
S0011,1,S0011,2,positive,0.95,1.0,
S0011,1,S0011,8,positive,0.7675,7.0,
S0011,2,S0011,7,positive,0.6879,5.0,
S0011,2,S0011,8,positive,0.6122,6.0,
S0011,3,S0011,7,positive,0.707,4.0,
S0011,4,S0011,5,positive,0.95,1.0,
S0012,1,S0012,3,positive,0.95,2.0,
S0012,1,S0012,5,positive,0.7499,4.0,
S0012,1,S0012,6,positive,0.6573,5.0,
S0012,2,S0012,3,positive,0.95,1.0,
S0012,2,S0012,7,positive,0.8126,5.0,
S0012,3,S0012,4,positive,0.8877,1.0,
S0012,3,S0012,5,positive,0.95,2.0,
S0012,6,S0012,8,positive,0.8167,2.0,
S0013,1,S0013,2,positive,0.95,1.0,
S0013,1,S0013,3,positive,0.9162,2.0,
S0013,2,S0013,6,positive,0.8422,4.0,
S0013,2,S0013,8,positive,0.7901,6.0,
S0013,3,S0013,8,positive,0.8461,5.0,
S0013,4,S0013,5,positive,0.95,1.0,
S0013,5,S0013,8,positive,0.777,3.0,
S0013,6,S0013,7,positive,0.9384,1.0,
S0014,1,S0014,3,positive,0.9365,2.0,
S0014,1,S0014,5,positive,0.7252,4.0,
S0014,3,S0014,7,positive,0.8856,4.0,
S0014,3,S0014,8,positive,0.8419,5.0,
S0014,4,S0014,5,positive,0.8819,1.0,
S0014,5,S0014,6,positive,0.95,1.0,
S0014,5,S0014,8,positive,0.8103,3.0,
S0014,6,S0014,8,positive,0.9055,2.0,
S0015,1,S0015,2,positive,0.8901,1.0,
S0015,1,S0015,3,positive,0.95,2.0,
S0015,2,S0015,5,positive,0.8263,3.0,
S0015,2,S0015,6,positive,0.8861,4.0,
S0015,2,S0015,7,positive,0.8151,5.0,
S0015,3,S0015,5,positive,0.8606,2.0,
S0015,3,S0015,8,positive,0.6503,5.0,
S0015,4,S0015,6,positive,0.8276,2.0,
S0015,5,S0015,7,positive,0.9255,2.0,
S0015,6,S0015,7,positive,0.8591,1.0,
S0016,1,S0016,5,positive,0.7106,4.0,
S0016,2,S0016,3,positive,0.95,1.0,
S0016,3,S0016,5,positive,0.9151,2.0,
S0016,3,S0016,6,positive,0.863,3.0,
S0016,3,S0016,8,positive,0.8495,5.0,
S0016,4,S0016,6,positive,0.9315,2.0,
S0016,4,S0016,7,positive,0.9107,3.0,
S0016,4,S0016,8,positive,0.8192,4.0,
S0016,5,S0016,6,positive,0.8613,1.0,
S0016,6,S0016,7,positive,0.9018,1.0,
S0016,6,S0016,8,positive,0.95,2.0,
S0017,1,S0017,3,positive,0.95,2.0,
S0017,1,S0017,4,positive,0.7586,3.0,
S0017,1,S0017,8,positive,0.6723,7.0,
S0017,2,S0017,3,positive,0.95,1.0,
S0017,3,S0017,8,positive,0.6959,5.0,
S0017,6,S0017,7,positive,0.8581,1.0,
S0018,1,S0018,2,positive,0.8881,1.0,
S0018,2,S0018,6,positive,0.8339,4.0,
S0018,3,S0018,6,positive,0.8912,3.0,
S0018,4,S0018,6,positive,0.8857,2.0,
S0018,6,S0018,7,positive,0.95,1.0,
S0018,6,S0018,8,positive,0.95,2.0,
S0019,1,S0019,6,positive,0.7043,5.0,
S0019,1,S0019,7,positive,0.674,6.0,
S0019,1,S0019,8,positive,0.7886,7.0,
S0019,2,S0019,5,positive,0.8198,3.0,
S0019,3,S0019,5,positive,0.864,2.0,
S0019,3,S0019,6,positive,0.7904,3.0,
S0019,3,S0019,8,positive,0.7824,5.0,
S0019,4,S0019,8,positive,0.8076,4.0,
S0019,5,S0019,6,positive,0.95,1.0,
S0020,1,S0020,2,positive,0.9232,1.0,
S0020,2,S0020,4,positive,0.8347,2.0,
S0020,2,S0020,5,positive,0.8739,3.0,
S0020,2,S0020,6,positive,0.8998,4.0,
S0020,3,S0020,4,positive,0.95,1.0,
S0020,3,S0020,7,positive,0.7834,4.0,
S0020,3,S0020,8,positive,0.6911,5.0,
S0020,4,S0020,7,positive,0.8873,3.0,
S0020,5,S0020,6,positive,0.95,1.0,
S0020,5,S0020,8,positive,0.8117,3.0,
S0020,6,S0020,7,positive,0.95,1.0,
S0020,6,S0020,8,positive,0.9187,2.0,
S0020,7,S0020,8,positive,0.95,1.0,
S0021,1,S0021,7,positive,0.72,6.0,
S0021,2,S0021,3,positive,0.95,1.0,
S0021,2,S0021,4,positive,0.8744,2.0,
S0021,2,S0021,5,positive,0.9426,3.0,
S0021,2,S0021,7,positive,0.7392,5.0,
S0021,3,S0021,4,positive,0.8881,1.0,
S0021,3,S0021,7,positive,0.7287,4.0,
S0021,4,S0021,5,positive,0.95,1.0,
S0021,5,S0021,7,positive,0.8318,2.0,
S0022,1,S0022,5,positive,0.7064,4.0,
S0022,1,S0022,6,positive,0.7925,5.0,
S0022,2,S0022,3,positive,0.95,1.0,
S0022,3,S0022,4,positive,0.95,1.0,
S0022,4,S0022,7,positive,0.7967,3.0,
S0022,6,S0022,7,positive,0.95,1.0,
S0023,1,S0023,6,positive,0.7956,5.0,
S0023,2,S0023,3,positive,0.95,1.0,
S0023,2,S0023,6,positive,0.8443,4.0,
S0023,3,S0023,5,positive,0.95,2.0,
S0023,3,S0023,7,positive,0.7795,4.0,
S0023,4,S0023,6,positive,0.95,2.0,
S0023,4,S0023,7,positive,0.8623,3.0,
S0024,2,S0024,3,positive,0.95,1.0,
S0024,2,S0024,5,positive,0.7831,3.0,
S0024,2,S0024,7,positive,0.85,5.0,
S0024,3,S0024,8,positive,0.7227,5.0,
S0024,5,S0024,6,positive,0.95,1.0,
S0024,6,S0024,7,positive,0.8514,1.0,
S0024,6,S0024,8,positive,0.9271,2.0,
S0025,1,S0025,3,positive,0.8263,2.0,
S0025,1,S0025,4,positive,0.9122,3.0,
S0025,1,S0025,6,positive,0.7311,5.0,
S0025,1,S0025,8,positive,0.6672,7.0,
S0025,2,S0025,4,positive,0.8942,2.0,
S0025,4,S0025,7,positive,0.9416,3.0,
S0025,4,S0025,8,positive,0.8294,4.0,
S0026,1,S0026,6,positive,0.7184,5.0,
S0026,2,S0026,4,positive,0.95,2.0,
S0026,3,S0026,6,positive,0.9009,3.0,
S0026,3,S0026,7,positive,0.7054,4.0,
S0026,4,S0026,6,positive,0.8472,2.0,
S0026,5,S0026,8,positive,0.8806,3.0,
S0026,6,S0026,8,positive,0.9303,2.0,
S0026,7,S0026,8,positive,0.95,1.0,
S0027,2,S0027,7,positive,0.6632,5.0,
S0027,3,S0027,4,positive,0.9256,1.0,
S0027,3,S0027,7,positive,0.796,4.0,
S0027,4,S0027,6,positive,0.8364,2.0,
S0027,6,S0027,8,positive,0.9309,2.0,
S0028,1,S0028,3,positive,0.95,2.0,
S0028,1,S0028,4,positive,0.862,3.0,
S0028,1,S0028,5,positive,0.8694,4.0,
S0028,2,S0028,4,positive,0.8209,2.0,
S0028,2,S0028,5,positive,0.9482,3.0,
S0028,3,S0028,6,positive,0.8786,3.0,
S0028,3,S0028,7,positive,0.8219,4.0,
S0028,4,S0028,6,positive,0.9052,2.0,
S0028,6,S0028,7,positive,0.95,1.0,
S0028,7,S0028,8,positive,0.95,1.0,
S0029,1,S0029,4,positive,0.8909,3.0,
S0029,1,S0029,5,positive,0.7486,4.0,
S0029,2,S0029,6,positive,0.8296,4.0,
S0029,5,S0029,6,positive,0.95,1.0,
S0029,5,S0029,7,positive,0.947,2.0,
S0029,6,S0029,7,positive,0.8974,1.0,
S0029,7,S0029,8,positive,0.8844,1.0,
S0030,1,S0030,2,positive,0.8881,1.0,
S0030,2,S0030,6,positive,0.8458,4.0,
S0030,2,S0030,7,positive,0.8425,5.0,
S0030,2,S0030,8,positive,0.6486,6.0,
S0030,4,S0030,5,positive,0.9012,1.0,
S0030,4,S0030,7,positive,0.8788,3.0,
S0031,1,S0031,3,positive,0.8854,2.0,
S0031,2,S0031,4,positive,0.8858,2.0,
S0031,2,S0031,7,positive,0.7677,5.0,
S0031,4,S0031,7,positive,0.8084,3.0,
S0031,4,S0031,8,positive,0.727,4.0,
S0031,6,S0031,7,positive,0.95,1.0,
S0032,1,S0032,3,positive,0.8315,2.0,
S0032,1,S0032,4,positive,0.8297,3.0,
S0032,2,S0032,4,positive,0.9387,2.0,
S0032,3,S0032,4,positive,0.95,1.0,
S0032,3,S0032,5,positive,0.816,2.0,
S0032,3,S0032,8,positive,0.7689,5.0,
S0032,4,S0032,5,positive,0.95,1.0,
S0032,5,S0032,7,positive,0.95,2.0,
S0032,6,S0032,7,positive,0.95,1.0,
S0032,7,S0032,8,positive,0.8669,1.0,
S0033,1,S0033,2,positive,0.8873,1.0,
S0033,1,S0033,5,positive,0.7002,4.0,
S0033,3,S0033,4,positive,0.95,1.0,
S0033,3,S0033,7,positive,0.8877,4.0,
S0033,4,S0033,6,positive,0.8569,2.0,
S0033,4,S0033,7,positive,0.7587,3.0,
S0033,7,S0033,8,positive,0.8725,1.0,
S0034,1,S0034,3,positive,0.9308,2.0,
S0034,1,S0034,8,positive,0.765,7.0,
S0034,2,S0034,4,positive,0.8546,2.0,
S0034,2,S0034,5,positive,0.7729,3.0,
S0034,2,S0034,6,positive,0.7785,4.0,
S0034,3,S0034,5,positive,0.9244,2.0,
S0034,3,S0034,7,positive,0.7705,4.0,
S0034,4,S0034,5,positive,0.95,1.0,
S0034,5,S0034,7,positive,0.9394,2.0,
S0035,2,S0035,3,positive,0.95,1.0,
S0035,2,S0035,5,positive,0.9051,3.0,
S0035,2,S0035,6,positive,0.8026,4.0,
S0035,2,S0035,7,positive,0.8369,5.0,
S0035,3,S0035,4,positive,0.95,1.0,
S0035,3,S0035,5,positive,0.8536,2.0,
S0035,4,S0035,6,positive,0.9333,2.0,
S0035,5,S0035,6,positive,0.95,1.0,
