student_id,date,course,status
S0001,2024-10-25,程序设计基础,present
S0001,2024-09-28,程序设计基础,present
S0001,2024-05-12,程序设计基础,absent
S0001,2024-05-04,程序设计基础,present
S0001,2024-06-28,程序设计基础,present
S0001,2024-10-20,程序设计基础,absent
S0001,2024-08-21,程序设计基础,absent
S0001,2024-12-01,程序设计基础,present
S0001,2024-02-28,程序设计基础,absent
S0001,2024-12-26,程序设计基础,present
S0001,2024-03-13,程序设计基础,present
S0001,2024-07-12,程序设计基础,present
S0001,2024-02-24,高等数学,absent
S0001,2024-12-20,高等数学,present
S0001,2024-01-06,高等数学,present
S0001,2024-03-28,高等数学,present
S0001,2024-07-23,高等数学,present
S0001,2024-07-11,高等数学,present
S0001,2024-06-02,高等数学,present
S0001,2024-02-09,高等数学,present
S0001,2024-10-10,高等数学,present
S0001,2024-03-11,数据库原理,late
S0001,2024-11-10,数据库原理,present
S0001,2024-11-15,数据库原理,present
S0001,2024-01-14,数据库原理,present
S0001,2024-02-18,数据库原理,absent
S0001,2024-01-16,数据库原理,absent
S0001,2024-10-16,数据库原理,present
S0001,2024-09-11,数据库原理,present
S0001,2024-05-11,数据库原理,absent
S0001,2024-07-03,嵌入式系统,absent
S0001,2024-12-06,嵌入式系统,absent
S0001,2024-06-14,嵌入式系统,present
S0001,2024-01-15,嵌入式系统,absent
S0001,2024-10-18,嵌入式系统,present
S0001,2024-05-04,嵌入式系统,present
S0001,2024-02-21,嵌入式系统,absent
S0001,2024-11-06,嵌入式系统,present
S0001,2024-03-07,嵌入式系统,present
S0001,2024-05-22,嵌入式系统,late
S0001,2024-01-15,自然语言处理,absent
S0001,2024-11-19,自然语言处理,present
S0001,2024-02-27,自然语言处理,present
S0001,2024-08-13,自然语言处理,present
S0001,2024-08-03,自然语言处理,absent
S0001,2024-10-28,自然语言处理,present
S0001,2024-07-21,自然语言处理,late
S0001,2024-11-01,自然语言处理,present
S0001,2024-02-10,大数据技术,present
S0001,2024-08-12,大数据技术,absent
S0001,2024-11-03,大数据技术,present
S0001,2024-07-07,大数据技术,present
S0001,2024-05-01,大数据技术,absent
S0001,2024-08-25,大数据技术,absent
S0001,2024-04-02,大数据技术,absent
S0001,2024-07-10,大数据技术,absent
S0001,2024-03-13,大数据技术,present
S0001,2024-01-14,大数据技术,present
S0001,2024-04-03,软件工程,present
S0001,2024-10-28,软件工程,absent
S0001,2024-06-28,软件工程,absent
S0001,2024-05-06,软件工程,absent
S0001,2024-10-25,软件工程,present
S0001,2024-07-03,软件工程,absent
S0001,2024-11-21,软件工程,present
S0001,2024-02-20,软件工程,absent
S0001,2024-03-28,软件工程,absent
S0001,2024-02-26,软件工程,present
S0001,2024-02-19,软件工程,present
S0001,2024-06-26,自动驾驶技术,present
S0001,2024-06-18,自动驾驶技术,absent
S0001,2024-06-22,自动驾驶技术,present
S0001,2024-02-04,自动驾驶技术,absent
S0001,2024-03-21,自动驾驶技术,absent
S0001,2024-08-08,自动驾驶技术,absent
S0001,2024-01-07,自动驾驶技术,absent
S0001,2024-03-26,自动驾驶技术,present
S0001,2024-03-06,自动驾驶技术,present
S0001,2024-04-14,自动驾驶技术,present
S0001,2024-01-17,自动驾驶技术,present
S0001,2024-03-15,区块链技术,present
S0001,2024-07-01,区块链技术,present
S0001,2024-12-17,区块链技术,present
S0001,2024-01-11,区块链技术,present
S0001,2024-05-02,区块链技术,present
S0001,2024-04-24,区块链技术,present
S0001,2024-12-28,区块链技术,present
S0001,2024-10-06,区块链技术,present
S0001,2024-04-01,云计算,present
S0001,2024-02-21,云计算,absent
S0001,2024-03-12,云计算,absent
S0001,2024-12-16,云计算,present
S0001,2024-05-03,云计算,present
S0001,2024-07-02,云计算,present
S0001,2024-06-04,云计算,present
S0001,2024-05-11,云计算,late
S0001,2024-05-12,云计算,late
S0001,2024-10-15,云计算,present
S0001,2024-02-02,云计算,present
S0001,2024-03-02,云计算,present
S0001,2024-03-20,数据挖掘,present
S0001,2024-06-17,数据挖掘,present
S0001,2024-02-19,数据挖掘,absent
S0001,2024-08-28,数据挖掘,absent
S0001,2024-08-18,数据挖掘,present
S0001,2024-04-01,数据挖掘,present
S0001,2024-08-02,数据挖掘,present
S0001,2024-01-01,数据挖掘,present
